,Unnamed: 0,id,img,label,text
0,0,42953,img/42953.png,0,"its their character not their color that matters. Black Male, 20-29 years old. Black Male, 30-39 years old. Facial hair Forehead Hair Meter Face Pressure head"
1,1,23058,img/23058.png,0,"don't be afraid to love again everyone is not like your ex. Black Male, 20-29 years old. White Female, 20-29 years old. Bride Photograph Wedding Wedding Dress Bridegroom iStock Dress Wedding reception Photo shoot Royalty-free"
2,2,13894,img/13894.png,0,putting bows on your pet. Chartreux Korat Mammal Cat-like Carnivores Whiskers Kitten Domestic short-haired cat Snout small
3,3,37408,img/37408.png,0,i love everything and everybody! except for squirrels i hate squirrels. Canidae Rottweiler Dog Breed Carnivores Snout Cat Mammal Portrait Puppy Breed
4,4,82403,img/82403.png,0,"everybody loves chocolate chip cookies, even hitler. Heinrich Hoffmann Hitler Was My Friend Nazi Party Führerbau Führer Photograph Nazism Speech Image 1945"
5,5,16952,img/16952.png,0,go sports! do the thing! win the points! Getty Images Stock photography Basketball Photography Image Photograph Getty Images stock.xchng
6,6,76932,img/76932.png,0,fine you're right. now can we fucking drop it? Stock photography Photograph Image Tiger Photography Getty Images Asiatic lion Illustration Getty Images
7,7,70914,img/70914.png,0,tattoos are bad for your health i know 5 million people that had tattoos and they all died. Tattoo Female tattoos Tattoo aftercare Tattoo artist Tattoo design Crema Anestésica Para Tatuajes Totem Tattoo Aquaphor Vaseline Skin
8,8,2973,img/02973.png,0,how long can i run? till the chain tightens. Nova Scotia Duck Tolling Retriever Dog Breed Canidae Snout Street dog Retriever Whiskers Mammal GroupM
9,9,58306,img/58306.png,0,"what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored. White Female, 50-59 years old. East Asian Female, 20-29 years old. Poster Photo caption Wallpaper Text Product Computer Meter Wallpaper M"
10,10,79351,img/79351.png,1,"jew mad? get fuhrerious! White Male, 40-49 years old. World War II Hitler and Stalin: The Tyrants and the Second World War Nazi Party Führerbunker Hitler family History Nazism Historic event past History Crunch"
